id,name,type,rate,accuracy,range,stat,damage,effect1,effect2,contest
578,"Metal Sound",Steel,EOT,4,"Ranged (4)",,,"No Target, Burst, Sound","Metal Sound creates a 4-meter Burst. All Legal Targets have their Special Defense lowered 2 Combat Stages.","Smart - 2d4 - Unsettling"
579,"Meteor Mash",Steel,Battle,4,Melee,ATK,4d12+16,"1 Target, Dash, Spirit Surge","Raise the userâ€™s Attack 1 Combat Stage on 15-20 during Accuracy Check.","Cool - 2d4 - Round Ender"
580,"Mirror Shot",Steel,EOT,5,"Ranged (7)",SATK,3d8+10,"1 Target, Column","Mirror Shot creates a Column 1 meter wide. All Legal Targets must roll +2 during Accuracy Checks to hit on 16-20 during Accuracy Check.","Cute - 2d4 - Round Starter"
581,"Shift Gear",Steel,Battle,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage and raise the userâ€™s Speed 2 Combat Stages.","Smart - None - Get Ready!"
582,"Steel Wing",Steel,At-Will,3,Melee,ATK,3d8+10,"1 Target, Pass, Spirit Surge","Raise the userâ€™s Defense 1 Combat Stage on 15-20 during Accuracy Check.","Cool - 3d4 - No Effect"
583,"Aqua Jet",Water,At-Will,2,Melee,ATK,1d12+6,"1 Target, Interrupt","If a foe wants to declare a Move, you may instead use Aqua Jet on their turn before they can use their Move.","Beauty - 2d4 - Quick Set"
584,"Aqua Ring",Water,Center,0,Self,,,"No Target, Coat","Aqua Ring covers the user in a Coat that heals the user at the beginning of each of their turns. The user is healed 1/16th of their full HP each turn.","Beauty - None - Torrential Appeal"
585,"Aqua Tail",Water,Battle,4,Melee,ATK,3d12+14,"1 Target, Pass",,"Cute - 3d4 - No Effect"
586,Brine,Water,Battle,2,"Ranged (6)",SATK,3d8+10,"1 Target","If the target is below 50% HP, Brine deals 5d12+22 during Damage Dice Roll.","Smart - 2d4 - Incentives"
587,Bubble,Water,At-Will,2,"Ranged (8)",SATK,1d6+3,"1 Target","Bubble lowers the targetâ€™s Speed on 16-20 during Accuracy Check.","Cute - 2d4 - Slow Set"
588,Bubblebeam,Water,EOT,2,"Ranged (8)",SATK,3d8+10,"1 Target, Column","Bubblebeam creates a Column 1 meter wide. Bubblebeam lowers the targetâ€™s Speed on 18-20 during Accuracy Check.","Beauty - 2d4 - Slow Set"
589,Clamp,Water,EOT,4,Melee,ATK,1d12+6,"1 Target, Trap","Clamp Traps the target and the user for 1d4+1 turns. At the beginning of the targetâ€™s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Clamp may not trap more then one target at a time unless the user is Huge or Gigantic.","Tough - 3d4 - No Effect"
590,Crabhammer,Water,Battle,3,Melee,ATK,3d12+14,"1 Target, Push","Crabhammer Pushes the target 2-meters. Crabhammer is a Critical Hit on 18-20 during Accuracy Check.","Tough - 2d4 - Round Starter"
591,Dive,Water,Battle,2,Melee,ATK,3d10+12,"1 Target, Dash, Set Up","Once you declare the use of Dive, the user is moved underwater and their turn ends. On the next turn, Diveâ€™s user may shift then use Diveâ€™s damage. While underwater, Diveâ€™s user may not be the target of Moves. There must be a body of water around the battlefield to use Dive.<br/>Grants: Underwater +3<br/>Eliminates: Sinker","Beauty - 1d4 - Special Attention"
592,"Hydro Cannon",Water,Center,4,"Ranged (15)",SATK,7d10+28,"Target Area, Blast, Exhaust","Hydro Cannon creates a 3-meter Blast. On Miss, Hydro Cannon deals the userâ€™s Special Attack instead to all possible targets.","Beauty - 2d4 - Seen Nothing Yet"
593,"Hydro Pump",Water,Battle,4,"Ranged (9)",SATK,5d12+18,"1 Target, Column","Hydro Pump creates a Column 1 meter wide.<br/>Grants: Fountain","Beauty - 2d4 - Round Starter"
594,"Muddy Water",Water,Battle,5,"Ranged (4)",SATK,4d12+16,"1 Target, Column","Muddy Water makes a Column 4-meters wide. All Legal Targets must roll +2 during Accuracy Checks to hit on 16-20 during Accuracy Check.","Tough - 2d4 - Round Ender"
595,Octazooka,Water,Battle,4,"Ranged (8)",SATK,3d8+10,"1 Target","All Legal Targets must roll +1 during Accuracy Checks to hit on 11-20 during Accuracy Check.","Tough - 2d4 - Incentives"
596,"Rain Dance",Water,Battle,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Rainy. While Rainy, Water-Type attacks deal 1.5x damage. Fire-Type attacks deal Â½ the damage they normally would.","Tough - 2d4 - Hold That Thought"
597,"Razor Shell",Water,EOT,3,Melee,ATK,3d10+12,"1 Target, Pass","Razor Shell lowers the Targetâ€™s Defense 1 Combat Stage on 11-20 during Accuracy Check.","Cool - 3d4 - No Effect"
598,Scald,Water,EOT,2,"Ranged (5)",SATK,3d10+12,"1 Target","Scald Burns the target on 15-20 during Accuracy Check.","Smart - 3d4 - No Effect"
599,Soak,Water,Battle,2,"Ranged (5)",,,"1 Target","For 1d4+1 turns, the targetâ€™s Elemental Type(s), become(s) Water Type.","Beauty - None - Torrential Appeal"
600,Surf,Water,Battle,2,"Ranged (4)",SATK,4d12+16,"1 Target, Column","Surf makes a Column 4-meters wide.<br/>Grants: Surface +3<br/>Eliminates: Sinker","Beauty - 2d4 - Round Starter"
601,"Water Gun",Water,At-Will,2,"Ranged (10)",SATK,1d12+6,"1 Target","Grants: Fountain","Cute - 3d4 - No Effect"
602,"Water Pledge",Water,EOT,2,"Ranged (6)",SATK,2d8+6,"1 Target, Pledge","If used on the same turn as Fire Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual.","Beauty - None - Torrential Appeal"
603,"Water Pulse",Water,EOT,2,"Ranged (3)",SATK,2d10+8,"No Target, Burst","Water Pulse creates a 3-meter Burst. Water Pulse Confuses all Legal Targets on 17-20 during Accuracy Check.<br/>Grants: Fountain","Beauty - 2d4 - Round Starter"
604,"Water Shuriken",Water,EOT,2,"Ranged (7)",ATK,1d6+3,"1 Target, Scatter, Interrupt","If a foe wants to declare a Move, you may instead use Water Shuriken on their turn before they can use their Move.  Water Shuriken can hit up to 5 times. Once the user misses, they cannot attempt to make another Water Shuriken attack on that turn.","Tough - 2d4 - Reliable"
605,"Water Sport",Water,EOT,0,"Ranged (4)",,,"1 Target, Coat","Water Sport makes a Coat that resists Fire Moves. Water Sport can Target Self.<br/>Grants: Fountain","Cute - 2d4 - Hold That Thought"
606,"Water Spout",Water,Center,4,"Ranged (10)",SATK,7d10+28,"No Target, Burst","Water Spout creates a 10-meter Burst. Water Spout may not be performed unless the user has at least 90% of its HP.","Beauty - 2d4 - Seen Nothing Yet"
607,Waterfall,Water,EOT,2,Melee,ATK,3d10+12,"1 Target, Push","The target is Pushed 2-meters. If the target is airborne, Waterfall deals an additional 1d12 during Damage Dice Roll. Waterfall Flinches the target on 17-20 during Accuracy Check.","Tough - 3d4 - No Effect"
608,Whirlpool,Water,EOT,4,"Ranged (5)",SATK,1d12+6,"1 Target, Trap","Whirlpool Traps the target for 1d4+1 turns. At the beginning of the targetâ€™s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Whirlpool may not trap more then one target at a time.","Beauty - None - Torrential Appeal"
609,"Curse (Non-Ghost)",Ghost,EOT,0,Self,,,"No Target","The user’s Speed is lowered 1 Combat Stage. The user’s Attack is raised 1 Combat Stage and the user’s Defense is raised 1 Combat Stage.","Tough - None - Torrential Appeal "
610,Withdraw,Water,At-Will,0,Self,,,"No Target","Raise the user’s Defense 1 Combat Stage.","Cute - 2d4 - Hold That Thought"
